16.Variable; SEW_GVL_Internal.Drive5_AxisDriver.DeviceAdapter16PD.stInverterOUT.lrActualTorque
16.Address.AddrFlags; 0x00000000
16.Class; 15
16.Size; 8
16.GraphColor; 4278190335
16.GraphType; 1
16.MinWarningColor; 4278190080
16.MaxWarningColor; 4294901760
16.CriticalLowerLimit; 0
16.CriticalUpperLimit; 0
16.ActivateMinWarning; 0
16.ActivateMaxWarning; 0
16.YAxis; 0
16.Data; 
; 18504866; 0.292
; 18509861; 0.269
; 18514857; 0.301
; 18519857; 0.27
; 18524866; 0.282
; 18529860; 0.261
; 18534857; 0.269
; 18539867; 0.239
; 18544878; 0.245
; 18549861; 0.201
; 18554857; 0.208
; 18559861; 0.213
; 18564874; 0.24
; 18569863; 0.249
; 18574860; 0.297
; 18579861; 0.276
; 18584877; 0.293
; 18589862; 0.275
; 18594858; 0.272
; 18599855; 0.236
; 18604872; 0.258
; 18609860; 0.242
; 18614863; 0.269
; 18619864; 0.275
; 18624863; 0.305
; 18629859; 0.283
; 18634861; 0.31
; 18639862; 0.285
; 18644865; 0.303
; 18649862; 0.29
; 18654861; 0.291
; 18659861; 0.251
; 18664871; 0.265
; 18669860; 0.237
; 18674863; 0.235
; 18679863; 0.219
; 18684866; 0.226
; 18689858; 0.22
; 18694855; 0.272
; 18699857; 0.266
; 18704868; 0.289
; 18709911; 0.28
; 18714863; 0.286
; 18719862; 0.242
; 18724866; 0.251
; 18729864; 0.231
; 18734862; 0.253
; 18739889; 0.25
; 18744879; 0.273
; 18749861; 0.261
; 18754862; 0.291
; 18759864; 0.271
; 18764878; 0.295
; 18769860; 0.291
; 18774864; 0.304
; 18779862; 0.264
; 18784868; 0.269
; 18789859; 0.249
; 18794864; 0.263
; 18799860; 0.236
; 18804873; 0.229
; 18809859; 0.207
; 18814862; 0.242
; 18819860; 0.253
; 18824863; 0.287
; 18829858; 0.289
; 18834862; 0.305
; 18839861; 0.267
; 18844866; 0.265
; 18849859; 0.231
; 18854860; 0.253
; 18859863; 0.26
; 18864867; 0.277
; 18869858; 0.26
; 18874862; 0.291
; 18879863; 0.273
; 18884866; 0.294
; 18889857; 0.296
; 18894863; 0.311
; 18899857; 0.28
; 18904865; 0.283
; 18909873; 0.253
; 18914863; 0.273
; 18919862; 0.26
; 18924867; 0.244
; 18929860; 0.205
; 18934865; 0.226
; 18939863; 0.22
; 18944868; 0.263
; 18949861; 0.285
; 18954858; 0.317
; 18959867; 0.29
; 18964880; 0.298
; 18969863; 0.252
; 18974859; 0.256
; 18979859; 0.251
; 18984867; 0.268
; 18989863; 0.246
; 18994858; 0.278
; 18999861; 0.269
; 19004872; 0.294
; 19009862; 0.298
; 19014863; 0.32
; 19019863; 0.287
; 19024862; 0.297
; 19029859; 0.258
; 19034862; 0.265
; 19039862; 0.256
; 19044863; 0.266
; 19049860; 0.221
; 19054862; 0.23
; 19059863; 0.206
; 19064867; 0.228
; 19069860; 0.255
; 19074856; 0.296
; 19079862; 0.276
; 19084865; 0.294
; 19089859; 0.26
; 19094861; 0.259
; 19099866; 0.244
; 19104872; 0.259
; 19109859; 0.243
; 19114860; 0.27
; 19119864; 0.253
; 19124869; 0.281
; 19129861; 0.28
; 19134857; 0.301
; 19139863; 0.278
; 19144874; 0.297
; 19149860; 0.266
; 19154864; 0.277
; 19159863; 0.257
; 19164897; 0.268
; 19169860; 0.238
; 19174863; 0.24
; 19179863; 0.206
; 19184867; 0.215
; 19189873; 0.227
; 19194860; 0.269
; 19199860; 0.267
; 19204871; 0.3
; 19209861; 0.274
; 19214863; 0.286
; 19219862; 0.259
; 19224867; 0.259
; 19229860; 0.233
; 19234864; 0.267
; 19239861; 0.248
; 19244868; 0.272
; 19249863; 0.279
; 19254862; 0.304
; 19259862; 0.282
; 19264873; 0.307
; 19269860; 0.278
; 19274861; 0.295
; 19279862; 0.273
; 19284866; 0.276
; 19289858; 0.244
; 19294862; 0.267
; 19299863; 0.222
; 19304866; 0.222
; 19309859; 0.213
; 19314861; 0.238
; 19319863; 0.242
; 19324864; 0.288
; 19329860; 0.269
; 19334863; 0.292
; 19339861; 0.277
; 19344866; 0.275
; 19349858; 0.234
; 19354860; 0.254
; 19359865; 0.239
; 19364871; 0.257
; 19369865; 0.263
; 19374865; 0.294
; 19379859; 0.275
; 19384870; 0.301
; 19389860; 0.281
; 19394862; 0.304
; 19399869; 0.288
; 19404865; 0.286
; 19409859; 0.242
; 19414858; 0.262
; 19419865; 0.238
; 19424867; 0.239
; 19429860; 0.222
; 19434864; 0.233
; 19439861; 0.223
; 19444865; 0.268
; 19449860; 0.268
; 19454861; 0.298
; 19459860; 0.286
; 19464869; 0.291
; 19469858; 0.247
; 19474864; 0.251
; 19479861; 0.229
; 19484866; 0.251
; 19489859; 0.26
; 19494863; 0.279
; 19499861; 0.264
; 19504866; 0.285
; 19509862; 0.27
; 19514863; 0.295
; 19519864; 0.284
; 19524868; 0.285
; 19529858; 0.245
; 19534862; 0.254
; 19539868; 0.229
; 19544867; 0.247
; 19549860; 0.228
; 19554859; 0.224
; 19559861; 0.198
; 19564874; 0.225
; 19569862; 0.236
; 19574864; 0.279
; 19579881; 0.287
; 19584869; 0.299
; 19589859; 0.27
; 19594859; 0.273
; 19599857; 0.238
; 19604912; 0.247
; 19609861; 0.256
; 19614862; 0.272
; 19619862; 0.253
; 19624867; 0.282
; 19629861; 0.269
; 19634864; 0.3
; 19639861; 0.297
; 19644866; 0.31
; 19649860; 0.273
; 19654862; 0.283
; 19659863; 0.243
; 19664867; 0.253
; 19669858; 0.25
; 19674861; 0.248
; 19679860; 0.21
; 19684868; 0.22
; 19689859; 0.211
; 19694861; 0.248
; 19699862; 0.275
; 19704894; 0.296
; 19709862; 0.271
; 19714862; 0.286
; 19719863; 0.247
; 19724904; 0.246
; 19729861; 0.243
; 19734863; 0.263
; 19739862; 0.243
; 19744868; 0.265
; 19749862; 0.26
; 19754863; 0.288
; 19759879; 0.287
; 19764871; 0.305
; 19769860; 0.28
; 19774863; 0.301
; 19779859; 0.265
; 19784867; 0.261
; 19789860; 0.249
; 19794862; 0.267
; 19799862; 0.228
; 19804872; 0.225
; 19809859; 0.202
; 19814863; 0.225
; 19819863; 0.253
; 19824880; 0.293
; 19829860; 0.281
; 19834907; 0.305
; 19839863; 0.272
; 19844860; 0.269
; 19849867; 0.246
; 19854862; 0.258
; 19859861; 0.241
; 19864865; 0.263
; 19869862; 0.247
; 19874862; 0.282
; 19879862; 0.285
; 19884865; 0.302
; 19889859; 0.28
; 19894857; 0.305
; 19899861; 0.272
; 19904867; 0.276
; 19909860; 0.252
; 19914859; 0.263
; 19919862; 0.241
; 19924874; 0.248
; 19929861; 0.208
; 19934859; 0.214
; 19939859; 0.218
; 19944865; 0.247
; 19949860; 0.249
; 19954861; 0.287
; 19959880; 0.266
; 19964879; 0.279
; 19969863; 0.262
; 19974857; 0.26
; 19979866; 0.229
; 19984875; 0.251
; 19989862; 0.235
; 19994862; 0.258
; 19999863; 0.269
; 20004877; 0.292
; 20009863; 0.27
; 20014862; 0.298
; 20019862; 0.276
; 20024865; 0.291
; 20029860; 0.277
; 20034870; 0.276
; 20039863; 0.241
; 20044897; 0.257
; 20049862; 0.225
; 20054858; 0.22
; 20059863; 0.216
; 20064869; 0.229
; 20069857; 0.229
; 20074861; 0.274
; 20079864; 0.27
; 20084862; 0.289
; 20089861; 0.284
; 20094862; 0.287
; 20099855; 0.241
; 20104864; 0.246
; 20109857; 0.23
; 20114862; 0.251
; 20119860; 0.257
; 20124869; 0.279
; 20129880; 0.263
; 20134864; 0.291
; 20139863; 0.273
; 20144871; 0.293
; 20149860; 0.286
; 20154862; 0.292
; 20159860; 0.254
; 20164899; 0.262
; 20169862; 0.242
; 20174864; 0.242
; 20179864; 0.222
; 20184875; 0.217
; 20189861; 0.206
; 20194863; 0.238
; 20199863; 0.253
; 20204869; 0.281
; 20209859; 0.29
; 20214861; 0.305
; 20219858; 0.263
; 20224870; 0.253
; 20229860; 0.225
; 20234865; 0.242
; 20239862; 0.253
; 20244874; 0.264
; 20249858; 0.256
; 20254865; 0.291
; 20259861; 0.279
; 20264865; 0.296
; 20269863; 0.295
; 20274864; 0.303
; 20279861; 0.268
; 20284866; 0.267
; 20289859; 0.237
; 20294860; 0.25
; 20299861; 0.245
; 20304867; 0.23
; 20309862; 0.203
; 20314862; 0.218
; 20319858; 0.221
; 20324868; 0.256
; 20329860; 0.278
; 20334870; 0.299
; 20339854; 0.272
; 20344871; 0.271
; 20349863; 0.231
; 20354862; 0.235
; 20359864; 0.245
; 20364872; 0.254
; 20369860; 0.235
; 20374863; 0.265
; 20379864; 0.262
; 20384881; 0.28
; 20389858; 0.287
; 20394863; 0.304
; 20399863; 0.279
; 20404866; 0.286
; 20409858; 0.253
; 20414862; 0.257
; 20419862; 0.258
; 20424867; 0.257
; 20429859; 0.214
; 20434863; 0.216
; 20439861; 0.205
; 20444866; 0.223
; 20449860; 0.263
; 20454861; 0.293
; 20459859; 0.277
; 20464866; 0.286
