1.Variable; Main_ChangeMaster.fbChangeMasterDrive1._uiActiveMaster
1.Address.AddrFlags; 0x00000000
1.Class; 11
1.Size; 2
1.GraphColor; 4278222848
1.GraphType; 1
1.MinWarningColor; 4278190080
1.MaxWarningColor; 4294901760
1.CriticalLowerLimit; 0
1.CriticalUpperLimit; 0
1.ActivateMinWarning; 0
1.ActivateMaxWarning; 0
1.YAxis; 0
1.Data; 
; 20164899; 3
; 20169862; 3
; 20174864; 3
; 20179864; 3
; 20184875; 3
; 20189861; 3
; 20194863; 3
; 20199863; 3
; 20204869; 3
; 20209859; 3
; 20214861; 3
; 20219858; 3
; 20224870; 3
; 20229860; 3
; 20234865; 3
; 20239862; 3
; 20244874; 3
; 20249858; 3
; 20254865; 3
; 20259861; 3
; 20264865; 3
; 20269863; 3
; 20274864; 3
; 20279861; 3
; 20284866; 3
; 20289859; 3
; 20294860; 3
; 20299861; 3
; 20304867; 3
; 20309862; 3
; 20314862; 3
; 20319858; 3
; 20324868; 3
; 20329860; 3
; 20334870; 3
; 20339854; 3
; 20344871; 3
; 20349863; 3
; 20354862; 3
; 20359864; 3
; 20364872; 3
; 20369860; 3
; 20374863; 3
; 20379864; 3
; 20384881; 3
; 20389858; 3
; 20394863; 3
; 20399863; 3
; 20404866; 3
; 20409858; 3
; 20414862; 3
; 20419862; 3
; 20424867; 3
; 20429859; 3
; 20434863; 3
; 20439861; 3
; 20444866; 3
; 20449860; 3
; 20454861; 3
; 20459859; 3
; 20464866; 3
; 20469860; 3
; 20474863; 3
; 20479863; 3
; 20484863; 3
; 20489857; 3
; 20494856; 3
; 20499861; 3
; 20504863; 3
; 20509860; 3
; 20514857; 3
; 20519862; 3
; 20524865; 3
; 20529862; 3
; 20534864; 3
; 20539858; 3
; 20544866; 3
; 20549877; 3
; 20554856; 3
; 20559862; 3
; 20564869; 3
; 20569860; 3
; 20574856; 3
; 20579861; 3
; 20584875; 3
; 20589860; 3
; 20594863; 3
; 20599861; 3
; 20604873; 3
; 20609859; 3
; 20614861; 3
; 20619867; 3
; 20624869; 3
; 20629860; 3
; 20634864; 3
; 20639862; 3
; 20644867; 3
; 20649880; 3
; 20654862; 3
; 20659865; 3
; 20664865; 3
; 20669860; 3
; 20674863; 3
; 20679863; 3
; 20684866; 3
; 20689862; 3
; 20694864; 3
; 20699860; 3
; 20704865; 3
; 20709861; 3
; 20714863; 3
; 20719862; 3
; 20724865; 3
; 20729860; 3
; 20734880; 3
; 20739863; 3
; 20744867; 3
; 20749862; 3
; 20754880; 3
; 20759860; 3
; 20764868; 3
; 20769861; 3
; 20774861; 3
; 20779860; 3
; 20784870; 3
; 20789865; 3
; 20794861; 3
; 20799893; 3
; 20804869; 3
; 20809861; 3
; 20814862; 3
; 20819863; 3
; 20824868; 3
; 20829860; 3
; 20834861; 3
; 20839861; 3
; 20844866; 3
; 20849861; 3
; 20854863; 3
; 20859887; 3
; 20864863; 3
; 20869862; 3
; 20874862; 3
; 20879861; 3
; 20884867; 3
; 20889860; 3
; 20894861; 3
; 20899862; 3
; 20904861; 3
; 20909860; 3
; 20914862; 3
; 20919861; 3
; 20924864; 3
; 20929861; 3
; 20934863; 3
; 20939863; 3
; 20944861; 3
; 20949862; 3
; 20954861; 3
; 20959864; 3
; 20964874; 3
; 20969862; 3
; 20974861; 3
; 20979862; 3
; 20984874; 3
; 20989860; 3
; 20994862; 3
; 20999881; 3
; 21004871; 3
; 21009859; 3
; 21014862; 3
; 21019864; 3
; 21024868; 3
; 21029860; 3
; 21034858; 3
; 21039862; 3
; 21044867; 3
; 21049859; 3
; 21054859; 3
; 21059862; 3
; 21064870; 3
; 21069861; 3
; 21074857; 3
; 21079863; 3
; 21084867; 3
; 21089857; 3
; 21094862; 3
; 21099861; 3
; 21104861; 3
; 21109858; 3
; 21114861; 3
; 21119861; 3
; 21124870; 3
; 21129860; 3
; 21134864; 3
; 21139862; 3
; 21144876; 3
; 21149859; 3
; 21154862; 3
; 21159862; 3
; 21164867; 3
; 21169857; 3
; 21174862; 3
; 21179904; 3
; 21184869; 3
; 21189860; 3
; 21194880; 3
; 21199861; 3
; 21204866; 3
; 21209858; 3
; 21214861; 3
; 21219862; 3
; 21224870; 3
; 21229863; 3
; 21234863; 3
; 21239856; 3
; 21244869; 3
; 21249861; 3
; 21254862; 3
; 21259862; 3
; 21264866; 3
; 21269859; 3
; 21274864; 3
; 21279862; 3
; 21284865; 3
; 21289862; 3
; 21294862; 3
; 21299866; 3
; 21304866; 3
; 21309861; 3
; 21314862; 3
; 21319864; 3
; 21324865; 3
; 21329861; 3
; 21334863; 3
; 21339864; 3
; 21344865; 3
; 21349863; 3
; 21354862; 3
; 21359863; 3
; 21364867; 3
; 21369862; 3
; 21374857; 3
; 21379863; 3
; 21384957; 3
; 21389860; 3
; 21394864; 3
; 21399861; 3
; 21404877; 3
; 21409861; 3
; 21414860; 3
; 21419862; 3
; 21424869; 3
; 21429861; 3
; 21434863; 3
; 21439862; 3
; 21444867; 3
; 21449859; 3
; 21454863; 3
; 21459857; 3
; 21464865; 3
; 21469858; 3
; 21474915; 3
; 21479860; 3
; 21484866; 3
; 21489862; 3
; 21494860; 3
; 21499863; 3
; 21504860; 3
; 21509861; 3
; 21514856; 3
; 21519862; 3
; 21524866; 3
; 21529859; 3
; 21534858; 3
; 21539862; 3
; 21544865; 3
; 21549866; 3
; 21554862; 3
; 21559856; 3
; 21564866; 3
; 21569859; 3
; 21574862; 3
; 21579862; 3
; 21584867; 3
; 21589862; 3
; 21594863; 3
; 21599860; 3
; 21604889; 3
; 21609860; 3
; 21614863; 3
; 21619862; 3
; 21624869; 3
; 21629860; 3
; 21634862; 3
; 21639861; 3
; 21644864; 3
; 21649860; 3
; 21654857; 3
; 21659861; 3
; 21664865; 3
; 21669860; 3
; 21674864; 3
; 21679860; 3
; 21684866; 3
; 21689881; 3
; 21694918; 3
; 21699864; 3
; 21704861; 3
; 21709860; 3
; 21714862; 3
; 21719863; 3
; 21724866; 3
; 21729859; 3
; 21734862; 3
; 21739862; 3
; 21744865; 3
; 21749859; 3
; 21754912; 3
; 21759864; 3
; 21764867; 3
; 21769859; 3
; 21774864; 3
; 21779863; 3
; 21784871; 3
; 21789861; 3
; 21794864; 3
; 21799864; 3
; 21804906; 3
; 21809859; 3
; 21814863; 3
; 21819859; 3
; 21824861; 3
; 21829862; 3
; 21834856; 3
; 21839864; 3
; 21844867; 3
; 21849869; 3
; 21854861; 3
; 21859863; 3
; 21864864; 3
; 21869859; 3
; 21874863; 3
; 21879862; 3
; 21884863; 3
; 21889861; 3
; 21894863; 3
; 21899862; 3
; 21904875; 3
; 21909862; 3
; 21914857; 3
; 21919862; 3
; 21924860; 3
; 21929861; 3
; 21934861; 3
; 21939862; 3
; 21944863; 3
; 21949860; 3
; 21954880; 3
; 21959862; 3
; 21964868; 3
; 21969861; 3
; 21974862; 3
; 21979861; 3
; 21984868; 3
; 21989857; 3
; 21994857; 3
; 21999862; 3
; 22004872; 3
; 22009860; 3
; 22014870; 3
; 22019886; 3
; 22024871; 3
; 22029860; 3
; 22034862; 3
; 22039858; 3
; 22044869; 3
; 22049858; 3
; 22054875; 3
; 22059859; 3
; 22064870; 3
; 22069863; 3
; 22074863; 3
; 22079861; 3
; 22084865; 3
; 22089862; 3
; 22094858; 3
; 22099862; 3
; 22104876; 3
; 22109858; 3
; 22114864; 3
; 22119863; 3
; 22124878; 3
; 22129859; 3
; 22134856; 3
; 22139861; 3
; 22144869; 3
; 22149860; 3
; 22154862; 3
; 22159862; 3
; 22164875; 3
; 22169857; 3
; 22174862; 3
; 22179862; 3
; 22184866; 3
; 22189859; 3
; 22194863; 3
; 22199863; 3
; 22204872; 3
; 22209865; 3
; 22214857; 3
; 22219860; 3
; 22224872; 3
; 22229859; 3
; 22234864; 3
; 22239864; 3
; 22244880; 3
; 22249863; 3
; 22254878; 3
; 22259860; 3
; 22264869; 3
; 22269858; 3
; 22274863; 3
; 22279862; 3
; 22284866; 3
; 22289861; 3
; 22294864; 3
; 22299861; 3
; 22304865; 3
; 22309860; 3
; 22314862; 3
; 22319859; 3
; 22324866; 3
; 22329867; 3
; 22334861; 3
; 22339863; 3
; 22344864; 3
; 22349865; 3
; 22354863; 3
; 22359862; 3
; 22364874; 3
; 22369860; 3
; 22374864; 3
; 22379859; 3
; 22384867; 3
; 22389859; 3
; 22394860; 3
; 22399864; 3
; 22404875; 3
; 22409860; 3
; 22414866; 3
; 22419862; 3
; 22424875; 3
; 22429859; 3
; 22434857; 3
; 22439861; 3
; 22444875; 3
; 22449859; 3
; 22454861; 3
; 22459863; 3
; 22464868; 3
; 22469859; 3
; 22474862; 3
; 22479860; 3
; 22484861; 3
; 22489861; 3
; 22494862; 3
; 22499855; 3
; 22504872; 3
; 22509863; 3
; 22514863; 3
; 22519856; 3
; 22524867; 3
; 22529858; 3
; 22534858; 3
; 22539863; 3
; 22544874; 3
; 22549859; 3
; 22554861; 3
; 22559861; 3
