10.Variable; SEW_GVL_Internal.Drive4_AxisDriver.DeviceAdapter16PD.stBasicOUT.lrActualVelocity
10.Address.AddrFlags; 0x00000000
10.Class; 15
10.Size; 8
10.GraphColor; 4294967040
10.GraphType; 1
10.MinWarningColor; 4278190080
10.MaxWarningColor; 4294901760
10.CriticalLowerLimit; 0
10.CriticalUpperLimit; 0
10.ActivateMinWarning; 0
10.ActivateMaxWarning; 0
10.YAxis; 0
10.Data; 
; 18504866; 49.94469
; 18509861; 49.9667
; 18514857; 49.845620000000004
; 18519857; 50.175810000000006
; 18524866; 50.21992
; 18529860; 50.084810000000004
; 18534857; 49.96681
; 18539867; 49.962830000000004
; 18544878; 49.876790000000007
; 18549861; 49.89585
; 18554857; 49.679260000000006
; 18559861; 49.72749
; 18564874; 50.123160000000006
; 18569863; 50.48156
; 18574860; 50.2466
; 18579861; 50.19926
; 18584877; 50.055830000000007
; 18589862; 49.86422
; 18594858; 49.820840000000004
; 18599855; 49.85558
; 18604872; 49.950680000000006
; 18609860; 50.285280000000007
; 18614863; 50.06983
; 18619864; 49.753600000000006
; 18624863; 49.81448
; 18629859; 50.029900000000005
; 18634861; 49.95271
; 18639862; 49.97852
; 18644865; 50.04887
; 18649862; 50.123830000000005
; 18654861; 50.11088
; 18659861; 50.01666
; 18664871; 49.94843
; 18669860; 50.066050000000004
; 18674863; 49.865320000000004
; 18679863; 49.57309
; 18684866; 49.70342
; 18689858; 50.19655
; 18694855; 50.452810000000007
; 18699857; 50.390260000000005
; 18704868; 50.165060000000004
; 18709911; 49.942040000000006
; 18714863; 49.923060000000007
; 18719862; 49.94633
; 18724866; 49.828590000000005
; 18729864; 50.026610000000005
; 18734862; 50.211040000000004
; 18739889; 49.896870000000007
; 18744879; 49.797140000000006
; 18749861; 49.954980000000006
; 18754862; 50.01183
; 18759864; 49.985470000000007
; 18764878; 49.909470000000006
; 18769860; 49.873610000000006
; 18774864; 50.175860000000007
; 18779862; 50.25495
; 18784868; 49.961960000000005
; 18789859; 49.92381
; 18794864; 50.035940000000004
; 18799860; 49.728150000000007
; 18804873; 49.623990000000006
; 18809859; 49.813280000000006
; 18814862; 50.1013
; 18819860; 50.444230000000005
; 18824863; 50.402660000000004
; 18829858; 50.045060000000007
; 18834862; 50.039950000000005
; 18839861; 50.04408
; 18844866; 49.870990000000006
; 18849859; 49.79724
; 18854860; 50.05317
; 18859863; 50.06387
; 18864867; 49.960820000000005
; 18869858; 49.912810000000007
; 18874862; 49.941
; 18879863; 49.99472
; 18884866; 50.06499
; 18889857; 49.810620000000007
; 18894863; 49.926370000000006
; 18899857; 50.263230000000007
; 18904865; 50.243930000000006
; 18909873; 49.94933
; 18914863; 50.066230000000004
; 18919862; 49.948570000000004
; 18924867; 49.761100000000006
; 18929860; 49.641850000000005
; 18934865; 49.75824
; 18939863; 50.011140000000005
; 18944868; 50.528800000000004
; 18949861; 50.32589
; 18954858; 50.095600000000005
; 18959867; 50.11941
