5.Variable; Main_ChangeMaster.fbChangeMasterDrive4._uiActiveMaster
5.Address.AddrFlags; 0x00000000
5.Class; 11
5.Size; 2
5.GraphColor; 4294967040
5.GraphType; 1
5.MinWarningColor; 4278190080
5.MaxWarningColor; 4294901760
5.CriticalLowerLimit; 0
5.CriticalUpperLimit; 0
5.ActivateMinWarning; 0
5.ActivateMaxWarning; 0
5.YAxis; 0
5.Data; 
; 18504866; 2
; 18509861; 2
; 18514857; 2
; 18519857; 2
; 18524866; 2
; 18529860; 2
; 18534857; 2
; 18539867; 2
; 18544878; 2
; 18549861; 2
; 18554857; 2
; 18559861; 2
; 18564874; 2
; 18569863; 2
; 18574860; 2
; 18579861; 2
; 18584877; 2
; 18589862; 2
; 18594858; 2
; 18599855; 2
; 18604872; 2
; 18609860; 2
; 18614863; 2
; 18619864; 2
; 18624863; 2
; 18629859; 2
; 18634861; 2
; 18639862; 2
; 18644865; 2
; 18649862; 2
; 18654861; 2
; 18659861; 2
; 18664871; 2
; 18669860; 2
; 18674863; 2
; 18679863; 2
; 18684866; 2
; 18689858; 2
; 18694855; 2
; 18699857; 2
; 18704868; 2
; 18709911; 2
; 18714863; 2
; 18719862; 2
; 18724866; 2
; 18729864; 2
; 18734862; 2
; 18739889; 2
; 18744879; 2
; 18749861; 2
; 18754862; 2
; 18759864; 2
; 18764878; 2
; 18769860; 2
; 18774864; 2
; 18779862; 2
; 18784868; 2
; 18789859; 2
; 18794864; 2
; 18799860; 2
; 18804873; 2
; 18809859; 2
; 18814862; 2
; 18819860; 2
; 18824863; 2
; 18829858; 2
; 18834862; 2
; 18839861; 2
; 18844866; 2
; 18849859; 2
; 18854860; 2
; 18859863; 2
; 18864867; 2
; 18869858; 2
; 18874862; 2
; 18879863; 2
; 18884866; 2
; 18889857; 2
; 18894863; 2
; 18899857; 2
; 18904865; 2
; 18909873; 2
; 18914863; 2
; 18919862; 2
; 18924867; 2
; 18929860; 2
; 18934865; 2
; 18939863; 2
; 18944868; 2
; 18949861; 2
; 18954858; 2
; 18959867; 2
; 18964880; 2
; 18969863; 2
; 18974859; 2
; 18979859; 2
; 18984867; 2
; 18989863; 2
; 18994858; 2
; 18999861; 2
; 19004872; 2
; 19009862; 2
; 19014863; 2
; 19019863; 2
; 19024862; 2
; 19029859; 2
; 19034862; 2
; 19039862; 2
; 19044863; 2
; 19049860; 2
; 19054862; 2
; 19059863; 2
; 19064867; 2
; 19069860; 2
; 19074856; 2
; 19079862; 2
; 19084865; 2
; 19089859; 2
; 19094861; 2
; 19099866; 2
; 19104872; 2
; 19109859; 2
; 19114860; 2
; 19119864; 2
; 19124869; 2
; 19129861; 2
; 19134857; 2
; 19139863; 2
; 19144874; 2
; 19149860; 2
; 19154864; 2
; 19159863; 2
; 19164897; 2
; 19169860; 2
; 19174863; 2
; 19179863; 2
; 19184867; 2
; 19189873; 2
; 19194860; 2
; 19199860; 2
; 19204871; 2
; 19209861; 2
; 19214863; 2
; 19219862; 2
; 19224867; 2
; 19229860; 2
; 19234864; 2
; 19239861; 2
; 19244868; 2
; 19249863; 2
; 19254862; 2
; 19259862; 2
; 19264873; 2
; 19269860; 2
; 19274861; 2
; 19279862; 2
; 19284866; 2
; 19289858; 2
; 19294862; 2
; 19299863; 2
; 19304866; 2
; 19309859; 2
; 19314861; 2
; 19319863; 2
; 19324864; 2
; 19329860; 2
; 19334863; 2
; 19339861; 2
; 19344866; 2
; 19349858; 2
; 19354860; 2
; 19359865; 2
; 19364871; 2
; 19369865; 2
; 19374865; 2
; 19379859; 2
; 19384870; 2
; 19389860; 2
; 19394862; 2
; 19399869; 2
; 19404865; 2
; 19409859; 2
; 19414858; 2
; 19419865; 2
; 19424867; 2
; 19429860; 2
; 19434864; 2
; 19439861; 2
; 19444865; 2
; 19449860; 2
; 19454861; 2
; 19459860; 2
; 19464869; 2
; 19469858; 2
; 19474864; 2
; 19479861; 2
; 19484866; 2
; 19489859; 2
; 19494863; 2
; 19499861; 2
; 19504866; 2
; 19509862; 2
; 19514863; 2
; 19519864; 2
; 19524868; 2
; 19529858; 2
; 19534862; 2
; 19539868; 2
; 19544867; 2
; 19549860; 2
; 19554859; 2
; 19559861; 2
; 19564874; 2
; 19569862; 2
; 19574864; 2
; 19579881; 2
; 19584869; 2
; 19589859; 2
; 19594859; 2
; 19599857; 2
; 19604912; 2
; 19609861; 2
; 19614862; 2
; 19619862; 2
; 19624867; 2
; 19629861; 2
; 19634864; 2
; 19639861; 2
; 19644866; 2
; 19649860; 2
; 19654862; 2
; 19659863; 2
; 19664867; 2
; 19669858; 2
; 19674861; 2
; 19679860; 2
; 19684868; 2
; 19689859; 2
; 19694861; 2
; 19699862; 2
; 19704894; 2
; 19709862; 2
; 19714862; 2
; 19719863; 2
; 19724904; 2
; 19729861; 2
; 19734863; 2
; 19739862; 2
; 19744868; 2
; 19749862; 2
; 19754863; 2
; 19759879; 2
; 19764871; 2
; 19769860; 2
; 19774863; 2
; 19779859; 2
; 19784867; 2
; 19789860; 2
; 19794862; 2
; 19799862; 2
; 19804872; 2
; 19809859; 2
; 19814863; 2
; 19819863; 2
; 19824880; 2
; 19829860; 2
; 19834907; 2
; 19839863; 2
; 19844860; 2
; 19849867; 2
; 19854862; 2
; 19859861; 2
; 19864865; 2
; 19869862; 2
; 19874862; 2
; 19879862; 2
; 19884865; 2
; 19889859; 2
; 19894857; 2
; 19899861; 2
; 19904867; 2
; 19909860; 2
; 19914859; 2
; 19919862; 2
; 19924874; 2
; 19929861; 2
; 19934859; 2
; 19939859; 2
; 19944865; 2
; 19949860; 2
; 19954861; 2
; 19959880; 2
; 19964879; 2
; 19969863; 2
