6.Variable; Main_ChangeMaster.fbChangeMasterDrive5._uiActiveMaster
6.Address.AddrFlags; 0x00000000
6.Class; 11
6.Size; 2
6.GraphColor; 4278190335
6.GraphType; 1
6.MinWarningColor; 4278190080
6.MaxWarningColor; 4294901760
6.CriticalLowerLimit; 0
6.CriticalUpperLimit; 0
6.ActivateMinWarning; 0
6.ActivateMaxWarning; 0
6.YAxis; 0
6.Data; 
; 18504866; 1
; 18509861; 1
; 18514857; 1
; 18519857; 1
; 18524866; 1
; 18529860; 1
; 18534857; 1
; 18539867; 1
; 18544878; 1
; 18549861; 1
; 18554857; 1
; 18559861; 1
; 18564874; 1
; 18569863; 1
; 18574860; 1
; 18579861; 1
; 18584877; 1
; 18589862; 1
; 18594858; 1
; 18599855; 1
; 18604872; 1
; 18609860; 1
; 18614863; 1
; 18619864; 1
; 18624863; 1
; 18629859; 1
; 18634861; 1
; 18639862; 1
; 18644865; 1
; 18649862; 1
; 18654861; 1
; 18659861; 1
; 18664871; 1
; 18669860; 1
; 18674863; 1
; 18679863; 1
; 18684866; 1
; 18689858; 1
; 18694855; 1
; 18699857; 1
; 18704868; 1
; 18709911; 1
; 18714863; 1
; 18719862; 1
; 18724866; 1
; 18729864; 1
; 18734862; 1
; 18739889; 1
; 18744879; 1
; 18749861; 1
; 18754862; 1
; 18759864; 1
; 18764878; 1
; 18769860; 1
; 18774864; 1
; 18779862; 1
; 18784868; 1
; 18789859; 1
; 18794864; 1
; 18799860; 1
; 18804873; 1
; 18809859; 1
; 18814862; 1
; 18819860; 1
; 18824863; 1
; 18829858; 1
; 18834862; 1
; 18839861; 1
; 18844866; 1
; 18849859; 1
; 18854860; 1
; 18859863; 1
; 18864867; 1
; 18869858; 1
; 18874862; 1
; 18879863; 1
; 18884866; 1
; 18889857; 1
; 18894863; 1
; 18899857; 1
; 18904865; 1
; 18909873; 1
; 18914863; 1
; 18919862; 1
; 18924867; 1
; 18929860; 1
; 18934865; 1
; 18939863; 1
; 18944868; 1
; 18949861; 1
; 18954858; 1
; 18959867; 1
; 18964880; 1
; 18969863; 1
; 18974859; 1
; 18979859; 1
; 18984867; 1
; 18989863; 1
; 18994858; 1
; 18999861; 1
; 19004872; 1
; 19009862; 1
; 19014863; 1
; 19019863; 1
; 19024862; 1
; 19029859; 1
; 19034862; 1
; 19039862; 1
; 19044863; 1
; 19049860; 1
; 19054862; 1
; 19059863; 1
; 19064867; 1
; 19069860; 1
; 19074856; 1
; 19079862; 1
; 19084865; 1
; 19089859; 1
; 19094861; 1
; 19099866; 1
; 19104872; 1
; 19109859; 1
; 19114860; 1
; 19119864; 1
; 19124869; 1
; 19129861; 1
; 19134857; 1
; 19139863; 1
; 19144874; 1
; 19149860; 1
; 19154864; 1
; 19159863; 1
; 19164897; 1
; 19169860; 1
; 19174863; 1
; 19179863; 1
; 19184867; 1
; 19189873; 1
; 19194860; 1
; 19199860; 1
; 19204871; 1
; 19209861; 1
; 19214863; 1
; 19219862; 1
; 19224867; 1
; 19229860; 1
; 19234864; 1
; 19239861; 1
; 19244868; 1
; 19249863; 1
; 19254862; 1
; 19259862; 1
; 19264873; 1
; 19269860; 1
; 19274861; 1
; 19279862; 1
; 19284866; 1
; 19289858; 1
; 19294862; 1
; 19299863; 1
; 19304866; 1
; 19309859; 1
; 19314861; 1
; 19319863; 1
; 19324864; 1
; 19329860; 1
; 19334863; 1
; 19339861; 1
; 19344866; 1
; 19349858; 1
; 19354860; 1
; 19359865; 1
; 19364871; 1
; 19369865; 1
; 19374865; 1
; 19379859; 1
; 19384870; 1
; 19389860; 1
; 19394862; 1
; 19399869; 1
; 19404865; 1
; 19409859; 1
; 19414858; 1
; 19419865; 1
; 19424867; 1
; 19429860; 1
; 19434864; 1
; 19439861; 1
; 19444865; 1
; 19449860; 1
; 19454861; 1
; 19459860; 1
; 19464869; 1
; 19469858; 1
; 19474864; 1
; 19479861; 1
; 19484866; 1
; 19489859; 1
; 19494863; 1
; 19499861; 1
; 19504866; 1
; 19509862; 1
; 19514863; 1
; 19519864; 1
; 19524868; 1
; 19529858; 1
; 19534862; 1
; 19539868; 1
; 19544867; 1
; 19549860; 1
; 19554859; 1
; 19559861; 1
; 19564874; 1
; 19569862; 1
; 19574864; 1
; 19579881; 1
; 19584869; 1
; 19589859; 1
; 19594859; 1
; 19599857; 1
; 19604912; 1
; 19609861; 1
; 19614862; 1
; 19619862; 1
; 19624867; 1
; 19629861; 1
; 19634864; 1
; 19639861; 1
; 19644866; 1
; 19649860; 1
; 19654862; 1
; 19659863; 1
; 19664867; 1
; 19669858; 1
; 19674861; 1
; 19679860; 1
; 19684868; 1
; 19689859; 1
; 19694861; 1
; 19699862; 1
; 19704894; 1
; 19709862; 1
; 19714862; 1
; 19719863; 1
; 19724904; 1
; 19729861; 1
; 19734863; 1
; 19739862; 1
; 19744868; 1
; 19749862; 1
; 19754863; 1
; 19759879; 1
; 19764871; 1
; 19769860; 1
; 19774863; 1
; 19779859; 1
; 19784867; 1
; 19789860; 1
; 19794862; 1
; 19799862; 1
; 19804872; 1
; 19809859; 1
; 19814863; 1
; 19819863; 1
; 19824880; 1
; 19829860; 1
; 19834907; 1
; 19839863; 1
; 19844860; 1
; 19849867; 1
; 19854862; 1
; 19859861; 1
; 19864865; 1
; 19869862; 1
; 19874862; 1
; 19879862; 1
; 19884865; 1
; 19889859; 1
; 19894857; 1
; 19899861; 1
; 19904867; 1
; 19909860; 1
