9.Variable; SEW_GVL_Internal.Drive3_AxisDriver.DeviceAdapter16PD.stBasicOUT.lrActualVelocity
9.Address.AddrFlags; 0x00000000
9.Class; 15
9.Size; 8
9.GraphColor; 4294901760
9.GraphType; 1
9.MinWarningColor; 4278190080
9.MaxWarningColor; 4294901760
9.CriticalLowerLimit; 0
9.CriticalUpperLimit; 0
9.ActivateMinWarning; 0
9.ActivateMaxWarning; 0
9.YAxis; 0
9.Data; 
; 18504866; 49.74947
; 18509861; 49.679100000000005
; 18514857; 49.667570000000005
; 18519857; 49.62158
; 18524866; 49.920240000000007
; 18529860; 49.8761
; 18534857; 49.92705
; 18539867; 50.08433
; 18544878; 50.242940000000004
; 18549861; 50.081860000000006
; 18554857; 49.895450000000004
; 18559861; 49.747820000000004
; 18564874; 50.182330000000007
; 18569863; 50.77244
; 18574860; 50.84904
; 18579861; 50.11252
; 18584877; 49.724000000000004
; 18589862; 49.611940000000004
; 18594858; 49.710870000000007
; 18599855; 50.000370000000004
; 18604872; 50.282720000000005
; 18609860; 50.272720000000007
; 18614863; 50.19019
; 18619864; 49.841490000000007
; 18624863; 49.82045
; 18629859; 49.917980000000007
; 18634861; 49.79415
; 18639862; 49.452200000000005
; 18644865; 49.658690000000007
; 18649862; 49.90438
; 18654861; 49.88349
; 18659861; 50.002730000000007
; 18664871; 50.243330000000007
; 18669860; 50.10099
; 18674863; 50.125620000000005
; 18679863; 49.799360000000007
; 18684866; 49.756780000000006
; 18689858; 50.244310000000006
; 18694855; 50.834460000000007
; 18699857; 50.65066
; 18704868; 50.223810000000007
; 18709911; 49.705900000000007
; 18714863; 49.567710000000005
; 18719862; 49.77056
; 18724866; 50.132250000000006
; 18729864; 50.10907
; 18734862; 50.2672
; 18739889; 50.077600000000004
; 18744879; 49.78826
; 18749861; 49.934630000000006
; 18754862; 50.03927
; 18759864; 49.60797
; 18764878; 49.51024
; 18769860; 49.589070000000007
; 18774864; 49.846410000000006
; 18779862; 49.907650000000004
; 18784868; 50.12436
; 18789859; 50.103060000000006
; 18794864; 50.174580000000006
; 18799860; 50.042780000000008
; 18804873; 49.831720000000004
; 18809859; 49.862320000000004
; 18814862; 50.34812
; 18819860; 50.635760000000005
; 18824863; 50.766980000000004
; 18829858; 50.196380000000005
; 18834862; 49.635610000000007
; 18839861; 49.63083
; 18844866; 49.933670000000006
; 18849859; 50.008860000000006
; 18854860; 50.15946
; 18859863; 50.17244
; 18864867; 50.08438
; 18869858; 49.959920000000004
; 18874862; 50.064530000000005
; 18879863; 49.85213
; 18884866; 49.640390000000004
; 18889857; 49.442080000000004
; 18894863; 49.516020000000005
; 18899857; 49.929080000000006
; 18904865; 50.11766
; 18909873; 50.010810000000006
; 18914863; 50.1124
; 18919862; 50.00954
; 18924867; 50.005610000000004
; 18929860; 49.94494
; 18934865; 49.959120000000006
; 18939863; 50.08505
; 18944868; 50.65113
; 18949861; 50.691460000000006
; 18954858; 50.184810000000006
; 18959867; 49.762670000000007
; 18964880; 49.779370000000007
; 18969863; 49.751610000000007
; 18974859; 49.996
; 18979859; 50.02488
; 18984867; 50.158590000000004
; 18989863; 50.252660000000006
; 18994858; 50.10732
; 18999861; 49.872270000000007
; 19004872; 49.899890000000006
; 19009862; 49.64112
; 19014863; 49.42929
; 19019863; 49.59942
; 19024862; 50.08044
; 19029859; 49.945660000000004
; 19034862; 49.983340000000005
; 19039862; 49.992180000000005
; 19044863; 50.05143
; 19049860; 50.18751
; 19054862; 50.123830000000005
; 19059863; 49.760830000000006
; 19064867; 50.11227
; 19069860; 50.53853
; 19074856; 50.671740000000007
; 19079862; 50.31076
; 19084865; 49.916190000000007
; 19089859; 49.618710000000007
; 19094861; 49.773190000000007
; 19099866; 49.892550000000007
; 19104872; 50.042570000000005
; 19109859; 50.297180000000004
; 19114860; 50.374620000000007
; 19119864; 49.895990000000005
; 19124869; 49.86966
; 19129861; 49.849940000000004
; 19134857; 49.59434
; 19139863; 49.498780000000004
; 19144874; 49.71233
; 19149860; 49.89213
; 19154864; 49.97507
; 19159863; 49.893870000000007
; 19164897; 49.9782
; 19169860; 50.107060000000004
; 19174863; 50.26727
; 19179863; 49.938370000000006
; 19184867; 49.84575
; 19189873; 50.02
; 19194860; 50.485820000000004
; 19199860; 50.758320000000005
; 19204871; 50.52206
; 19209861; 49.825350000000007
; 19214863; 49.654740000000004
; 19219862; 49.664480000000005
; 19224867; 49.87581
; 19229860; 50.14435
; 19234864; 50.420030000000004
; 19239861; 50.218930000000007
; 19244868; 49.96502
; 19249863; 49.836830000000006
; 19254862; 49.79574
; 19259862; 49.714380000000006
; 19264873; 49.668020000000006
; 19269860; 49.579850000000008
; 19274861; 49.907860000000007
; 19279862; 49.85649
; 19284866; 49.868520000000004
; 19289858; 50.10081
; 19294862; 50.278330000000004
; 19299863; 50.115150000000007
; 19304866; 50.03182
; 19309859; 49.758820000000007
; 19314861; 49.927110000000006
; 19319863; 50.47905
; 19324864; 50.906310000000005
; 19329860; 50.399910000000006
; 19334863; 49.87165
; 19339861; 49.548930000000006
; 19344866; 49.626560000000005
; 19349858; 49.976470000000006
; 19354860; 50.27006
; 19359865; 50.219710000000006
; 19364871; 50.24994
; 19369865; 49.887190000000004
; 19374865; 49.727410000000006
; 19379859; 49.910280000000007
; 19384870; 49.933510000000005
; 19389860; 49.551500000000004
; 19394862; 49.55608
; 19399869; 49.7678
; 19404865; 49.86695
; 19409859; 50.017230000000005
; 19414858; 50.250150000000005
; 19419865; 50.062740000000005
; 19424867; 50.137020000000007
; 19429860; 49.968160000000005
; 19434864; 49.751740000000005
; 19439861; 50.010470000000005
; 19444865; 50.64871
; 19449860; 50.774580000000007
; 19454861; 50.457580000000007
; 19459860; 49.797850000000004
; 19464869; 49.544030000000006
; 19469858; 49.760020000000004
; 19474864; 50.10649
