13.Variable; SEW_GVL_Internal.Drive2_AxisDriver.DeviceAdapter16PD.stInverterOUT.lrActualTorque
13.Address.AddrFlags; 0x00000000
13.Class; 15
13.Size; 8
13.GraphColor; 4278190080
13.GraphType; 1
13.MinWarningColor; 4278190080
13.MaxWarningColor; 4294901760
13.CriticalLowerLimit; 0
13.CriticalUpperLimit; 0
13.ActivateMinWarning; 0
13.ActivateMaxWarning; 0
13.YAxis; 0
13.Data; 
; 18504866; 0.231
; 18509861; 0.232
; 18514857; 0.258
; 18519857; 0.279
; 18524866; 0.304
; 18529860; 0.285
; 18534857; 0.251
; 18539867; 0.229
; 18544878; 0.229
; 18549861; 0.208
; 18554857; 0.232
; 18559861; 0.225
; 18564874; 0.228
; 18569863; 0.216
; 18574860; 0.228
; 18579861; 0.211
; 18584877; 0.237
; 18589862; 0.217
; 18594858; 0.207
; 18599855; 0.188
; 18604872; 0.211
; 18609860; 0.199
; 18614863; 0.231
; 18619864; 0.21
; 18624863; 0.227
; 18629859; 0.216
; 18634861; 0.241
; 18639862; 0.243
; 18644865; 0.301
; 18649862; 0.293
; 18654861; 0.278
; 18659861; 0.234
; 18664871; 0.237
; 18669860; 0.222
; 18674863; 0.251
; 18679863; 0.22
; 18684866; 0.231
; 18689858; 0.215
; 18694855; 0.235
; 18699857; 0.214
; 18704868; 0.249
; 18709911; 0.226
; 18714863; 0.23
; 18719862; 0.19
; 18724866; 0.212
; 18729864; 0.199
; 18734862; 0.243
; 18739889; 0.216
; 18744879; 0.219
; 18749861; 0.198
; 18754862; 0.234
; 18759864; 0.219
; 18764878; 0.275
; 18769860; 0.286
; 18774864; 0.301
; 18779862; 0.257
; 18784868; 0.25
; 18789859; 0.217
; 18794864; 0.257
; 18799860; 0.226
; 18804873; 0.221
; 18809859; 0.196
; 18814862; 0.23
; 18819860; 0.212
; 18824863; 0.247
; 18829858; 0.234
; 18834862; 0.237
; 18839861; 0.2
; 18844866; 0.206
; 18849859; 0.19
; 18854860; 0.234
; 18859863; 0.229
; 18864867; 0.227
; 18869858; 0.189
; 18874862; 0.222
; 18879863; 0.216
; 18884866; 0.257
; 18889857; 0.266
; 18894863; 0.299
; 18899857; 0.268
; 18904865; 0.277
; 18909873; 0.234
; 18914863; 0.26
; 18919862; 0.248
; 18924867; 0.243
; 18929860; 0.192
; 18934865; 0.217
; 18939863; 0.213
; 18944868; 0.242
; 18949861; 0.239
; 18954858; 0.244
; 18959867; 0.21
; 18964880; 0.218
; 18969863; 0.192
; 18974859; 0.215
; 18979859; 0.224
; 18984867; 0.229
; 18989863; 0.188
; 18994858; 0.2
; 18999861; 0.198
; 19004872; 0.235
; 19009862; 0.248
; 19014863; 0.273
; 19019863; 0.26
; 19024862; 0.286
; 19029859; 0.255
; 19034862; 0.264
; 19039862; 0.251
; 19044863; 0.255
; 19049860; 0.211
; 19054862; 0.209
; 19059863; 0.205
; 19064867; 0.236
; 19069860; 0.247
; 19074856; 0.249
; 19079862; 0.22
; 19084865; 0.224
; 19089859; 0.209
; 19094861; 0.215
; 19099866; 0.224
; 19104872; 0.232
; 19109859; 0.209
; 19114860; 0.212
; 19119864; 0.195
; 19124869; 0.212
; 19129861; 0.24
; 19134857; 0.254
; 19139863; 0.244
; 19144874; 0.276
; 19149860; 0.272
; 19154864; 0.282
; 19159863; 0.271
; 19164897; 0.26
; 19169860; 0.228
; 19174863; 0.222
; 19179863; 0.194
; 19184867; 0.203
; 19189873; 0.238
; 19194860; 0.245
; 19199860; 0.223
; 19204871; 0.223
; 19209861; 0.212
; 19214863; 0.214
; 19219862; 0.226
; 19224867; 0.213
; 19229860; 0.203
; 19234864; 0.206
; 19239861; 0.202
; 19244868; 0.193
; 19249863; 0.23
; 19254862; 0.241
; 19259862; 0.237
; 19264873; 0.245
; 19269860; 0.264
; 19274861; 0.283
; 19279862; 0.295
; 19284866; 0.276
; 19289858; 0.242
; 19294862; 0.237
; 19299863; 0.224
; 19304866; 0.199
; 19309859; 0.229
; 19314861; 0.236
; 19319863; 0.234
; 19324864; 0.219
; 19329860; 0.219
; 19334863; 0.21
; 19339861; 0.238
; 19344866; 0.219
; 19349858; 0.205
; 19354860; 0.195
; 19359865; 0.21
; 19364871; 0.193
; 19369865; 0.218
; 19374865; 0.213
; 19379859; 0.23
; 19384870; 0.22
; 19389860; 0.243
; 19394862; 0.255
; 19399869; 0.302
; 19404865; 0.287
; 19409859; 0.26
; 19414858; 0.224
; 19419865; 0.232
; 19424867; 0.209
; 19429860; 0.223
; 19434864; 0.214
; 19439861; 0.234
; 19444865; 0.214
; 19449860; 0.226
; 19454861; 0.212
; 19459860; 0.241
; 19464869; 0.223
; 19469858; 0.216
; 19474864; 0.184
; 19479861; 0.21
; 19484866; 0.199
; 19489859; 0.231
; 19494863; 0.215
; 19499861; 0.228
; 19504866; 0.213
; 19509862; 0.237
; 19514863; 0.233
; 19519864; 0.288
; 19524868; 0.294
; 19529858; 0.29
; 19534862; 0.246
; 19539868; 0.245
; 19544867; 0.223
; 19549860; 0.245
; 19554859; 0.218
; 19559861; 0.222
; 19564874; 0.205
; 19569862; 0.226
; 19574864; 0.21
; 19579881; 0.238
; 19584869; 0.227
; 19589859; 0.223
; 19594859; 0.192
; 19599857; 0.199
; 19604912; 0.189
; 19609861; 0.218
; 19614862; 0.218
; 19619862; 0.215
; 19624867; 0.197
; 19629861; 0.223
; 19634864; 0.226
; 19639861; 0.258
; 19644866; 0.281
; 19649860; 0.299
; 19654862; 0.268
; 19659863; 0.258
; 19664867; 0.228
; 19669858; 0.244
; 19674861; 0.246
; 19679860; 0.231
; 19684868; 0.201
; 19689859; 0.224
; 19694861; 0.22
; 19699862; 0.239
; 19704894; 0.24
; 19709862; 0.233
; 19714862; 0.202
; 19719863; 0.208
; 19724904; 0.19
; 19729861; 0.209
; 19734863; 0.231
; 19739862; 0.232
; 19744868; 0.199
; 19749862; 0.206
; 19754863; 0.215
; 19759879; 0.236
; 19764871; 0.261
; 19769860; 0.28
; 19774863; 0.276
; 19779859; 0.279
; 19784867; 0.248
; 19789860; 0.24
; 19794862; 0.25
; 19799862; 0.248
; 19804872; 0.205
; 19809859; 0.2
; 19814863; 0.211
; 19819863; 0.228
; 19824880; 0.245
; 19829860; 0.24
; 19834907; 0.213
; 19839863; 0.209
; 19844860; 0.201
; 19849867; 0.192
; 19854862; 0.225
; 19859861; 0.228
; 19864865; 0.215
; 19869862; 0.201
; 19874862; 0.209
; 19879862; 0.225
; 19884865; 0.264
; 19889859; 0.26
; 19894857; 0.266
; 19899861; 0.28
; 19904867; 0.275
; 19909860; 0.258
; 19914859; 0.262
; 19919862; 0.253
; 19924874; 0.235
; 19929861; 0.209
; 19934859; 0.206
; 19939859; 0.216
; 19944865; 0.252
; 19949860; 0.235
; 19954861; 0.222
; 19959880; 0.208
; 19964879; 0.209
; 19969863; 0.195
; 19974857; 0.222
; 19979866; 0.214
; 19984875; 0.217
; 19989862; 0.202
; 19994862; 0.202
; 19999863; 0.197
; 20004877; 0.245
; 20009863; 0.241
; 20014862; 0.243
; 20019862; 0.255
; 20024865; 0.282
; 20029860; 0.275
; 20034870; 0.284
; 20039863; 0.253
; 20044897; 0.241
; 20049862; 0.221
